"Job_Link","Title","Industry","Job_Category_parent","Job_Category","Salary_Mode","Min_Salary","Max_Salary","Skills","Job_Type","Work Arrangement","Education","Experience"
"https://glints.com/id/opportunities/jobs/71bbe826-94ee-43bd-867b-3f49c9d039df","Driver","Manufacturing","Supply Chain, Logistics & Transportation","Personal Driver","MONTH","3500000","","Safe Driving, Driving, Driver Training","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/32aaa10a-6cf0-4c2b-a770-bffba099def4","Customer Acquisition Representative","Apparel & Fashion","Customer Service","Customer Service Representative","MONTH","1000000","2500000","Communication Skills, Microsoft Excel, Sales and Marketing","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/71717cef-e041-460e-bacf-904b16388384","SPV PPJK","Logistics and Supply Chain","Import & Export Trade","Customs & Inspection Clerk","MONTH","7000000","8500000","Import and Export Logistics, Teamwork, Communication, Operations Management, Logistics Settlement, Import and Export Document, Logistics Distribution, Microsoft Office","FULL_TIME","ONSITE","BACHELOR_DEGREE","3"
"https://glints.com/id/opportunities/jobs/a2426157-4979-478d-883d-bb31b6b12f75","Perawat Gigi (Sozo Dental Jabodetabek)","Health, Wellness and Fitness","Nursing & Medical Support","Nurse","MONTH","3000000","3200000","Stock Opname, Teamwork, Dentist","CONTRACT","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/0409b6cd-0df6-4865-8e93-cbd99d7a54e1","affiliate spesialis","Apparel & Fashion","Marketing","Digital Marketing Specialist","MONTH","2400000","3600000","Marketing Communications, Affiliate Marketing, Social Media","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/c04824a8-2416-4287-a405-55fdfce4b803","Business Relationship Officer","Management Consulting","Business Development & Sales","Business Development Executive","MONTH","2500000","","Business Growth Strategy, Salesforce, Business Negotiation, Business Strategy, Business Development","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/9ce1e781-bdce-4c65-b7f1-b79f5e95fdb0","Commis Chinese or western","Restaurants","Services Industry","Chef","N/A","0","0","Food Decoration, Cooking Method, Wok, Cook, Teamwork","CONTRACT","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/5e619e92-86de-4aba-9e72-20f4edfb9234","Admin Checker Gudang","Electrical/Electronic Manufacturing","Storage","Warehouse Checker","N/A","0","0","Stock Opname, Microsoft Excel, Checker Gudang","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/b0a7252e-daca-4601-9372-b59c1a4b81e6","PIC Warehouse","Cosmetics","Storage","Warehouse Clerk","MONTH","3000000","4000000","Warehouse Management, Stock Opname, Store Operations, Inventory Management, Logistics Management","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/5bf50fb1-1304-4217-b21e-2cfc69981c91","Account Executive","Computer Software","Business Development & Sales","Sales Representative","MONTH","6000000","7000000","Account Management, Sales Strategy, B2B Sales","FULL_TIME","HYBRID","BACHELOR_DEGREE","3"
"https://glints.com/id/opportunities/jobs/00cbb2b9-e89e-4ae5-97de-a2ee1a31f506","FIELDCOLL AREA POSO (PENAGIHAN LAPANGAN)","Outsourcing/Offshoring","Accounting","Field Collector","MONTH","3000000","3300000","Customer Service, Fee Collection, Risk Management, Negotiation Skills","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/12350c49-4346-47ef-a715-1418bafbe2f2","Water Audit Team Leader","Management Consulting","Accounting","Auditor","N/A","0","0","Water Treatment, Performance Audit, Risk Management, Auditing, Pertambangan","CONTRACT","HYBRID","MASTER_DEGREE","5"
"https://glints.com/id/opportunities/jobs/a3bc0b39-6578-438e-ab18-2d90f94c2340","Sales Manager","Luxury Goods & Jewelry","Sales Management","Sales Manager","MONTH","15000000","30000000","Sales Operations, Communication Skills, B2B Sales, Sales Strategy, Sales Planning, Key Account Management, Client Relations, Team Management, Performance Management, Sales and Marketing, Business Development, Business Negotiation, Sales Management","FULL_TIME","ONSITE","BACHELOR_DEGREE","3"
"https://glints.com/id/opportunities/jobs/325e19af-58b6-4e1e-a559-66131a8583a2","PERAWAT NICU & PERAWAT ICU","Hospital & Health Care","Nursing & Medical Support","Nurse","N/A","0","0","Sertifikat Nicu, Sertifikat Icu, Nursing","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/6cdbd4ad-8091-4880-aaf0-2c6d4f6655d6","KOL Intern","Cosmetics","Marketing","KOL Specialist","MONTH","2000000","2500000","Communication Skills, KOL Operation, TikTok, Microsoft Office","INTERNSHIP","HYBRID","BACHELOR_DEGREE","0"
"https://glints.com/id/opportunities/jobs/c9f1bfab-18e0-4219-b5c2-5e1817afe113","Supervisor Produksi Jahit","Apparel & Fashion","Manufacturing & Production","Production Team Leader","MONTH","0","200000","Attention to Detail, Problem Solving, Leadership","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/c67a9082-7f35-4e5f-93eb-5e415d5dd8e8","Head Store","Food & Beverages","Retail","Store Manager","MONTH","3500000","4000000","Sales and Marketing, Communication Skills, Cross-functional Team Leadership, Computer Operator, Store Management, Customer Service, Sales Strategy, Retail Management","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/01e47b54-5fff-479b-b821-d8d0f52b209c","PIC (PERSON IN CHARGE) PROJECT","Automotive","Advertisement Sales","Exhibition and Event Sales","N/A","0","0","B2B Sales, Event Management, Exhibitions, Campaign Management, Communication, International Conference and Exhibition, Sales Strategy, B2C Sales, Exhibition Design, Sales and Marketing","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
